source,target,distance
6,10,0.99032
6,21,0.12569
6,29,0.11159
6,42,0.83317
6,46,1.3275
6,58,0.29298
6,60,0.32372
6,62,0.30747
6,68,0.858
6,70,0.98106
6,78,0.17296
6,81,0.7284
6,82,0.48252
6,92,0.46962
6,97,0.1415
6,109,0.41274
6,119,0.036706
6,120,0.92006
6,125,0.2132
6,126,0.78159
6,129,0.084324
6,132,1.0155
6,135,0.96249
6,136,1.0352
6,137,0.23622
6,141,0.8841
6,144,1.7231
6,147,3.0347
6,151,0.31309
6,159,2.1488
6,160,0.39023
6,161,0.010055
6,164,0.66793
6,165,0.31709
6,172,1.2842
6,174,0.22543
6,180,0.66385
6,186,0.22494
6,190,0.31704
6,194,0.029604
6,204,0.37098
6,208,0.72635
6,215,0.82433
6,216,0.012056
6,217,0.1327
6,220,1.0714
6,226,0.94252
6,230,0.93763
6,234,0.69213
6,241,0.32065
6,242,0.44661
6,246,0.23817
6,259,1.875
6,271,0.4556
6,273,0.47624
6,274,0.082385
6,279,0.16288
6,281,0.61813
6,285,0.23092
6,287,0.016144
6,288,0.3356
6,296,0.59795
6,298,0.1148
6,306,0.66151
6,308,0.31247
6,313,0.28108
6,320,0.36142
6,331,0.51739
6,338,1.1103
6,343,0.7187
6,346,0.3517
6,348,0.33486
6,362,0.78527
6,372,1.0176
6,390,1.0287
6,393,0.46711
6,394,1.9409
6,400,1.0139
6,404,0.47594
6,407,0.52028
6,413,0.39265
6,415,1.0664
6,421,2.0726
6,425,0.62456
6,437,0.85855
6,442,0.1492
6,443,0.98175
6,453,1.7387
6,457,0.10271
6,472,0.14507
6,475,0.91511
6,476,1.8143
6,477,0.89491
6,490,0.58744
6,492,0.40414
6,493,1.1702
6,496,0.20382
6,497,0.36762
6,500,0.06717
10,21,1.116
10,29,0.87873
10,42,1.8235
10,46,0.33716
10,58,0.69734
10,60,1.314
10,62,0.68285
10,68,1.8483
10,70,0.009259
10,78,1.1633
10,81,0.26192
10,82,1.4728
10,92,0.5207
10,97,0.84883
10,109,1.4031
10,119,1.027
10,120,0.070265
10,125,0.77713
10,126,1.7719
10,129,0.906
10,132,2.0058
10,135,0.027831
10,136,0.044893
10,137,0.75411
10,141,1.8744
10,144,0.73277
10,147,2.0444
10,151,1.3034
10,159,1.1584
10,160,0.60009
10,161,1.0004
10,164,1.6583
10,165,1.3074
10,172,0.29388
10,174,1.2158
10,180,1.6542
10,186,1.2153
10,190,1.3074
10,194,0.96072
10,204,0.61934
10,208,0.26397
10,215,1.8146
10,216,1.0024
10,217,0.85762
10,220,0.081124
10,226,1.9328
10,230,0.052696
10,234,1.6825
10,241,1.311
10,242,0.54371
10,246,0.75215
10,259,0.88471
10,271,0.53472
10,273,0.51408
10,274,1.0727
10,279,0.82744
10,281,1.6085
10,285,0.75941
10,287,1.0065
10,288,0.65473
10,296,1.5883
10,298,0.87552
10,306,1.6518
10,308,0.67785
10,313,1.2714
10,320,1.3517
10,331,1.5077
10,338,0.11997
10,343,0.27163
10,346,1.342
10,348,1.3252
10,362,1.7756
10,372,2.0079
10,390,2.019
10,393,1.4574
10,394,0.95059
10,400,0.023596
10,404,1.4663
10,407,0.47004
10,413,1.383
10,415,0.07605
10,421,1.0823
10,425,0.36577
10,437,1.8489
10,442,1.1395
10,443,1.9721
10,453,0.74837
10,457,0.88761
10,472,0.84526
10,475,0.075217
10,476,0.82402
10,477,1.8852
10,490,1.5778
10,492,0.58619
10,493,0.17987
10,496,0.7865
10,497,0.6227
10,500,1.0575
21,29,0.23728
21,42,0.70748
21,46,1.4532
21,58,0.41868
21,60,0.19803
21,62,0.43316
21,68,0.73231
21,70,1.1068
21,78,0.047266
21,81,0.85409
21,82,0.35683
21,92,0.59531
21,97,0.26719
21,109,0.28705
21,119,0.088986
21,120,1.0457
21,125,0.33889
21,126,0.6559
21,129,0.21002
21,132,0.88979
21,135,1.0882
21,136,1.1609
21,137,0.36191
21,141,0.75841
21,144,1.8488
21,147,3.1604
21,151,0.18739
21,159,2.2745
21,160,0.51593
21,161,0.11564
21,164,0.54224
21,165,0.19139
21,172,1.4099
21,174,0.099738
21,180,0.53816
21,186,0.099248
21,190,0.19134
21,194,0.1553
21,204,0.49667
21,208,0.85205
21,215,0.69863
21,216,0.11364
21,217,0.2584
21,220,1.1971
21,226,0.81683
21,230,1.0633
21,234,0.56644
21,241,0.19496
21,242,0.5723
21,246,0.36386
21,259,2.0007
21,271,0.5813
21,273,0.60193
21,274,0.043307
21,279,0.28857
21,281,0.49244
21,285,0.35661
21,287,0.10955
21,288,0.46129
21,296,0.47226
21,298,0.24049
21,306,0.53582
21,308,0.43816
21,313,0.15539
21,320,0.23572
21,331,0.3917
21,338,1.236
21,343,0.84439
21,346,0.22601
21,348,0.20917
21,362,0.65958
21,372,0.8919
21,390,0.90303
21,393,0.34142
21,394,2.0666
21,400,1.1396
21,404,0.35024
21,407,0.64598
21,413,0.26696
21,415,1.1921
21,421,2.1983
21,425,0.75025
21,437,0.73286
21,442,0.023505
21,443,0.85606
21,453,1.8644
21,457,0.2284
21,472,0.27076
21,475,1.0408
21,476,1.94
21,477,0.76922
21,490,0.46174
21,492,0.52983
21,493,1.2959
21,496,0.32951
21,497,0.49331
21,500,0.058522
29,42,0.94476
29,46,1.2159
29,58,0.18139
29,60,0.43531
29,62,0.19588
29,68,0.96959
29,70,0.86947
29,78,0.28455
29,81,0.61681
29,82,0.59411
29,92,0.35803
29,97,0.029905
29,109,0.52433
29,119,0.1483
29,120,0.80847
29,125,0.1016
29,126,0.89318
29,129,0.027269
29,132,1.1271
29,135,0.8509
29,136,0.92362
29,137,0.12462
29,141,0.99569
29,144,1.6115
29,147,2.9231
29,151,0.42468
29,159,2.0372
29,160,0.27864
29,161,0.12165
29,164,0.77952
29,165,0.42868
29,172,1.1726
29,174,0.33702
29,180,0.77545
29,186,0.33653
29,190,0.42863
29,194,0.081988
29,204,0.25939
29,208,0.61476
29,215,0.93592
29,216,0.12365
29,217,0.021112
29,220,0.95985
29,226,1.0541
29,230,0.82603
29,234,0.80372
29,241,0.43224
29,242,0.33502
29,246,0.12658
29,259,1.7634
29,271,0.34401
29,273,0.36465
29,274,0.19398
29,279,0.051286
29,281,0.72972
29,285,0.11933
29,287,0.12774
29,288,0.224
29,296,0.70955
29,298,0.0032061
29,306,0.77311
29,308,0.20088
29,313,0.39268
29,320,0.47301
29,331,0.62899
29,338,0.9987
29,343,0.60711
29,346,0.46329
29,348,0.44646
29,362,0.89686
29,372,1.1292
29,390,1.1403
29,393,0.5787
29,394,1.8293
29,400,0.90233
29,404,0.58753
29,407,0.40869
29,413,0.50424
29,415,0.95478
29,421,1.961
29,425,0.51297
29,437,0.97015
29,442,0.26079
29,443,1.0933
29,453,1.6271
29,457,0.0088829
29,472,0.033474
29,475,0.80351
29,476,1.7028
29,477,1.0065
29,490,0.69903
29,492,0.29254
29,493,1.0586
29,496,0.09223
29,497,0.25603
29,500,0.17876
42,46,2.1607
42,58,1.1262
42,60,0.50945
42,62,1.1406
42,68,0.024829
42,70,1.8142
42,78,0.66021
42,81,1.5616
42,82,0.35065
42,92,1.3028
42,97,0.97467
42,109,0.42043
42,119,0.79647
42,120,1.7532
42,125,1.0464
42,126,0.051584
42,129,0.9175
42,132,0.18231
42,135,1.7957
42,136,1.8684
42,137,1.0694
42,141,0.050925
42,144,2.5563
42,147,3.8679
42,151,0.52009
42,159,2.9819
42,160,1.2234
42,161,0.82312
42,164,0.16524
42,165,0.51609
42,172,2.1174
42,174,0.60774
42,180,0.16932
42,186,0.60823
42,190,0.51613
42,194,0.86278
42,204,1.2042
42,208,1.5595
42,215,0.0088466
42,216,0.82112
42,217,0.96588
42,220,1.9046
42,226,0.10935
42,230,1.7708
42,234,0.14104
